Prodotto,Codice,Quantità,Ultimo,Valore,Valore in EUR
CASH & CASH FUND & FTX CASH (EUR),,,,EUR 343.69,"343,69"
ISHARES $ TREASURY BOND 1-3YR U...,IE00B14X4S71,82,"115,53",EUR 9473.46,"9473,46"
ADR ON ADAPTIMMUNE THERAPEUTICS PLC,US00653A1079,3380,"0,23",USD 788.55,"720,19"
ALPHABET INC. - CLASS A,US02079K3059,20,"158,71",USD 3174.20,"2899,00"
ASML HOLDING,NL0010273215,10,"554,30",EUR 5543.00,"5543,00"
AETERNA ZENTARIS INC - NON TRADE...,CA22112H1192,10,"0,00",USD 0.00,"0,00"
AIRBUS SE,NL0000235190,38,"149,50",EUR 5681.00,"5681,00"
BUMBLE INC-A,US12047B1052,47,"4,16",USD 195.52,"178,57"
COSCIENS BIOPHARMA INC. - COMMO...,CA22112H1010,22,"2,82",USD 62.04,"56,66"
DIASORIN,IT0003492391,20,"90,72",EUR 1814.40,"1814,40"
DIASORIN - NON TRADEABLE,IT0005643561,20,"0,00",EUR 0.00,"0,00"
DSV A/S,DK0060079531,40,"1055,00",DKK 42200.00,"5650,58"
GALAPAGOS,BE0003818359,18,"21,24",EUR 382.32,"382,32"
INTEL CORPORATION - CO,US4581401001,125,"21,53",USD 2691.25,"2457,92"
INFINEON TECHNOLOGIES AG,DE0006231004,101,"27,68",EUR 2795.68,"2795,68"
INVESCO US TREASURY BOND 7-10 YE...,IE00BF2FN646,100,"31,85",EUR 3185.00,"3185,00"
JUVENTUS FOOTBALL CLUB S.P.A,IT0005572778,361,"2,74",EUR 989.86,"989,86"
KERING,FR0000121485,17,"156,92",EUR 2667.64,"2667,64"
MONCLER,IT0004965148,60,"50,50",EUR 3030.00,"3030,00"
SMILEDIRECTCLUB INC. - COMMON STOCK,US83192H1068,400,"0,00",USD 0.04,"0,04"
SNDL INC,CA83307B1013,230,"1,39",USD 319.70,"291,98"
THE KRAFT HEINZ COMPAN,US5007541064,125,"29,10",USD 3637.50,"3322,13"
VANECK URANIUM AND NUCLEAR TECHN...,IE000M7V94E1,200,"22,25",EUR 4450.00,"4450,00"
VANGUARD FTSE ALL-WORLD UCITS ET...,IE00BK5BQT80,35,"110,50",EUR 3867.50,"3867,50"
WALT DISNEY COMPANY (T,US2546871060,35,"91,44",USD 3200.40,"2922,93"
XTRACKERS MSCI WORLD HEALTH CARE...,IE00BM67HK77,160,"43,17",EUR 6907.20,"6907,20"
ZOOM VIDEO COMMUNICATIONS-A,US98980L1017,50,"71,83",USD 3591.50,"3280,12"
ISHARES GLOBAL WATER UCITS ETF U...,IE00B1TXK627,85,"60,99",EUR 5184.15,"5184,15"
ISHARES MSCI EM ASIA UCITS ETF U...,IE00B5L8K969,36,"145,80",EUR 5248.80,"5248,80"
ISHARES MSCI SAUDI ARABIA CAPPED...,IE00BYYR0489,950,"5,42",EUR 5145.20,"5145,20"